network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
2001:200::/32,1861060,1861060,,0,0,
2001:208::/32,1880251,1880251,,0,0,
2001:218::/34,1861060,1861060,,0,0,
2001:218:4000::/35,1861060,1861060,,0,0,
2001:218:6000::/47,1861060,1861060,,0,0,
2001:218:6002::/48,1819730,1861060,,0,0,
2001:218:6003::/48,1861060,1861060,,0,0,
2001:218:6004::/46,1861060,1861060,,0,0,
2001:218:6008::/45,1861060,1861060,,0,0,
2001:218:6010::/44,1861060,1861060,,0,0,
2001:218:6020::/43,1861060,1861060,,0,0,
2001:218:6040::/42,1861060,1861060,,0,0,
2001:218:6080::/41,1861060,1861060,,0,0,
2001:218:6100::/40,1861060,1861060,,0,0,
2001:218:6200::/39,1861060,1861060,,0,0,
2001:218:6400::/38,1861060,1861060,,0,0,
2001:218:6800::/37,1861060,1861060,,0,0,
2001:218:7000::/36,1861060,1861060,,0,0,
2001:218:8000::/34,1861060,1861060,,0,0,
2001:218:c000::/50,1861060,1861060,,0,0,
2001:218:c000:4000::/52,1861060,1861060,,0,0,
2001:218:c000:5000::/64,2077456,1861060,,0,0,
2001:218:c000:5001::/64,1861060,1861060,,0,0,
2001:218:c000:5002::/63,1861060,1861060,,0,0,
2001:218:c000:5004::/62,1861060,1861060,,0,0,
2001:218:c000:5008::/61,1861060,1861060,,0,0,
2001:218:c000:5010::/60,1861060,1861060,,0,0,
2001:218:c000:5020::/59,1861060,1861060,,0,0,
2001:218:c000:5040::/58,1861060,1861060,,0,0,
2001:218:c000:5080::/57,1861060,1861060,,0,0,
2001:218:c000:5100::/56,1861060,1861060,,0,0,
2001:218:c000:5200::/55,1861060,1861060,,0,0,
2001:218:c000:5400::/54,1861060,1861060,,0,0,
2001:218:c000:5800::/53,1861060,1861060,,0,0,
2001:218:c000:6000::/51,1861060,1861060,,0,0,
2001:218:c000:8000::/49,1861060,1861060,,0,0,
2001:218:c001::/48,1861060,1861060,,0,0,
2001:218:c002::/47,1861060,1861060,,0,0,
2001:218:c004::/46,1861060,1861060,,0,0,
2001:218:c008::/45,1861060,1861060,,0,0,
2001:218:c010::/44,1861060,1861060,,0,0,
2001:218:c020::/43,1861060,1861060,,0,0,
2001:218:c040::/42,1861060,1861060,,0,0,
2001:218:c080::/41,1861060,1861060,,0,0,
2001:218:c100::/40,1861060,1861060,,0,0,
2001:218:c200::/39,1861060,1861060,,0,0,
2001:218:c400::/38,1861060,1861060,,0,0,
2001:218:c800::/37,1861060,1861060,,0,0,
2001:218:d000::/36,1861060,1861060,,0,0,
2001:218:e000::/35,1861060,1861060,,0,0,
2001:220::/32,1835841,1835841,,0,0,
